,seed,gamma,width,height,lag_p,pi_rand_perf,pi_star_perf,iteration,epsilon_baseline,pi_b_perf,nb_trajectories,method,hyperparam,method_perf,run_time
14,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,5000,DUIPI_bayesian,1,2.1960311204630325,107.01972198486328
15,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,5000,shield-DUIPI_bayesian,1,2.2330145108610964,106.90620303153992
16,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,10000,SPIBB,3,0.4134666296526,42.75285315513611
17,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,10000,shield-SPIBB,3,0.48969450651481095,38.40951323509216
18,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,10000,DUIPI_bayesian,1,3.249853959840908,158.00019931793213
19,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,10000,shield-DUIPI_bayesian,1,3.621149754576619,157.88859677314758
20,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,15000,SPIBB,3,0.8736055780517498,46.13405704498291
21,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,15000,shield-SPIBB,3,0.9388536331132428,45.08006501197815
22,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,15000,DUIPI_bayesian,1,3.914547606539057,195.7231478691101
23,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,15000,shield-DUIPI_bayesian,1,4.468538889938847,193.25561094284058
24,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,20000,SPIBB,3,1.3363465319753498,49.905425786972046
25,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,20000,shield-SPIBB,3,1.379170985150348,49.21556901931763
26,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,20000,DUIPI_bayesian,1,4.377383201517421,220.79639506340027
27,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,20000,shield-DUIPI_bayesian,1,4.755932957830892,224.9768807888031
28,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,25000,SPIBB,3,1.814627822822451,53.016051292419434
29,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,25000,shield-SPIBB,3,1.8528198936352689,52.28053593635559
30,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,25000,DUIPI_bayesian,1,4.60892178700236,239.66858386993408
31,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,25000,shield-DUIPI_bayesian,1,4.815804999832566,239.57516312599182
32,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,35000,SPIBB,3,2.4906733676348525,57.55208086967468
33,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,35000,shield-SPIBB,3,2.552645140157167,55.40085506439209
34,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,35000,DUIPI_bayesian,1,4.960592634803978,267.95099806785583
35,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,35000,shield-DUIPI_bayesian,1,5.05793224352531,266.5845592021942
36,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,50000,SPIBB,3,3.2120377898697816,59.545350074768066
37,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,50000,shield-SPIBB,3,3.2590141152645713,58.40659689903259
38,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,50000,DUIPI_bayesian,1,5.126723351445511,298.91775012016296
39,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,50000,shield-DUIPI_bayesian,1,5.258703653336937,298.2969777584076
